adult,tconst,overview,poster_path,production_countries,production_companies_name,averageRating,category,primaryName,birthYear,genres,titles,languages_combined,votes,runtime,start_year,poster_url,video_link,overview_fr
False,tt0100112,"The film begins in a flashback from the titular character, Antoine. We are introduced to his fixation with female hairdressers which began at a young age. The film uses flashbacks throughout and there are frequent parallels drawn with the past. We are unsure what Antoine has done with his life, however we know he has fulfilled his childhood ambition, to marry a haidresser.",/A9NL1cWybEXg7dWFET1gqWbpEzt.jpg,['FR'],"['Lambart Productions', 'TF1 Films Production', 'CNC', 'Investimage 2', 'Investimage 3']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama', 'Romance'],",The Hairdresser's Husband - ,"['ar', 'fr'], ",6.9 / , / 82.0,1990.0 - ,https://image.tmdb.org/t/p/w154/uacdqiwlwEpqc5EwCEtiHbiwBAR.jpg,https://www.youtube.com/watch?v=NCeLfMsOy0Y,"Le film commence par un flashback du personnage principal, Antoine. On découvre sa fixation pour les coiffeuses depuis son plus jeune âge. Le film utilise des flashbacks tout au long du film et il y a de fréquents parallèles avec le passé. Nous ne savons pas ce qu'Antoine a fait de sa vie, mais nous savons qu'il a réalisé son ambition d'enfance, celle d'épouser une coiffeuse."
False,tt0100303,The unsanctioned efforts of a covert unit to gather evidence about illegal arms shipments with the unwitting help of an embassy employee.,/hWwH4j4ZnyLTTvXEpO1vNJJnjY7.jpg,['FR'],['Gaumont'],6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Action'],",Operation Corned Beef - ,"['fr'], ",6.1 / , / 105.0,1991.0 - ,https://image.tmdb.org/t/p/w154/5dt2ojhQfX57zLrqlIZ6BbPeiQ.jpg,https://www.youtube.com/watch?v=kYG0Ueq33Ik,Les efforts non autorisés d'une unité secrète pour recueillir des preuves sur des expéditions d'armes illégales avec l'aide involontaire d'un employé de l'ambassade.
False,tt0100594,An American couple drift toward emptiness in postwar North Africa.,/pXt5tuvnYrISsaNi5kEQOOJhTXn.jpg,"['IT', 'GB']","['Recorded Picture Company', 'Aldrich Group', 'Film Trustees Ltd.', 'TAO Film']",6.400674684658257,actor,Unknown,1981.0,"['Adventure', 'Drama', 'Romance'],",The Sheltering Sky - ,"['ar', 'en', 'fr'], ",6.66 / , / 138.0,1990.0 - ,https://image.tmdb.org/t/p/w154/uhUuQKxBcX0IZKu8BaHUqrqXP14.jpg,https://www.youtube.com/watch?v=LDZy2Xl2kho,Un couple américain dérive vers le vide dans l'Afrique du Nord d'après-guerre.
False,tt0100623,"Singapore Sling is chasing after Laura, a romantic memory from his past. One night he finds himself in a mysterious villa, watching two women bury a body. He falls into their trap and, in an atmosphere of isolation and decadence, the trio act out insane pleasure games and a ritual of blood and murder.",/btTYcALtXvE9j8xjvlGOnLT1cQI.jpg,['GR'],"['Cinekip', 'Greek Film Centre']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Horror', 'Drama'],",Singapore Sling - ,"['en', 'fr', 'el'], ",6.702 / , / 112.0,1990.0 - ,https://image.tmdb.org/t/p/w154/lEEew3mvFJiIWbYdaQZ2kWZQIvW.jpg,https://www.youtube.com/watch?v=gWRszGtpVRU,"Singapore Sling part à la poursuite de Laura, un souvenir romantique de son passé. Une nuit, il se retrouve dans une mystérieuse villa, à regarder deux femmes enterrer un corps. Il tombe dans leur piège et, dans une atmosphère d'isolement et de décadence, le trio se livre à des jeux de plaisir insensés et à un rituel de sang et de meurtre."
False,tt0100631,Pops isn't worried about the renewal of the lease for his ski lodge - the safety record is unblemished in spite of the crew of misfits who make up his ski patrol. But a scheming land developer has other plans and the ski patrol is thrust into a skiing showdown in order to save Pops' mountain.,/clkV5VCiapnKJ5c5yg2brxATIja.jpg,['US'],"['Epic Productions', 'Sarlui / Diamant Production']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Action'],",Ski Patrol - ,"['en', 'fr'], ",4.781 / , / 91.0,1990.0 - ,https://image.tmdb.org/t/p/w154/gCd4lKEevWQjpP1Xlw35STvyj5L.jpg,https://www.youtube.com/watch?v=qggFUkhuV84,Pops ne s'inquiète pas du renouvellement du bail de son chalet de ski - le bilan de sécurité est sans tache malgré l'équipe de marginaux qui composent sa patrouille de ski. Mais un promoteur immobilier intrigant a d'autres plans et la patrouille de ski se retrouve plongée dans une confrontation de ski afin de sauver la montagne de Pops.
False,tt0100758,"A quartet of humanoid turtles, trained by their mentor in ninjitsu, must learn to work together to face the menace of Shredder and the Foot Clan.",/shfAU6xIIEAEtsloIT3n9Fscz2E.jpg,"['HK', 'US']","['New Line Cinema', 'Orange Sky Golden Harvest', 'Mirage Studios']",6.400674684658257,actor,Unknown,1981.0,"['Science Fiction', 'Action', 'Adventure', 'Comedy', 'Family'],",Teenage Mutant Ninja Turtles - ,"['fr', 'en'], ",6.614 / , / 93.0,1990.0 - ,https://image.tmdb.org/t/p/w154/bmNM2FtQu7aSaXN5y1zUswHNYAr.jpg,https://www.youtube.com/watch?v=z88vDU5pLxU,"Un quatuor de tortues humanoïdes, entraînées par leur mentor au ninjitsu, doivent apprendre à travailler ensemble pour affronter la menace de Shredder et du Foot Clan."
False,tt0100851,"After World War II, a small French village struggles to put the war behind as the controlling Communist Party tries to flush out Petain loyalists. The local bar owner, a simple man who likes to write poetry, who only wants to be left alone to do his job, becomes a target for Communist harassment as they try and locate a particular loyalist, and he pushes back.",/g18EepYwT2KJrDaeeadrgb0lPSF.jpg,['FR'],[],6.400674684658257,actor,Unknown,1981.0,"['Drama', 'Comedy'],",Uranus - ,"['fr'], ",6.737 / , / 100.0,1990.0 - ,https://image.tmdb.org/t/p/w154/g18EepYwT2KJrDaeeadrgb0lPSF.jpg,https://www.youtube.com/watch?v=x8Fd8qMbqw4,"Après la Seconde Guerre mondiale, un petit village français lutte pour oublier la guerre tandis que le parti communiste au pouvoir tente de débusquer les loyalistes de Pétain. Le propriétaire du bar local, un homme simple qui aime écrire de la poésie et qui ne veut qu'être laissé tranquille pour faire son travail, devient la cible du harcèlement communiste alors qu'ils tentent de localiser un loyaliste en particulier, et il le repousse."
False,tt0101020,Three orphans grow up to become art thieves under the tutelage of a crime boss. Romance complicates matters when the trio are double-crossed.,/gVH8aR8oy4wBlEzIhFXCWLfts9A.jpg,['HK'],"['Milestone Productions', 'Golden Princess Film Production Limited', 'John Woo Film Production']",6.400674684658257,actor,Unknown,1981.0,"['Action', 'Comedy', 'Thriller', 'Crime'],",Once a Thief - ,"['cn', 'fr', 'de'], ",6.7 / , / 103.0,1991.0 - ,https://image.tmdb.org/t/p/w154/aaQnY8PXAK9kD7ukCBHL4OhXruh.jpg,https://www.youtube.com/watch?v=yiRPGPqPNNI,Trois orphelins grandissent et deviennent des voleurs d'art sous la tutelle d'un chef de gang. L'histoire d'amour complique les choses lorsque le trio se fait trahir.
False,tt0101255,"When corrupt real estate mogul Arnold Gruber evicts Joe and Lisa from their dwellings to make way for new buildings, martial arts-trained Joe turns sexy Lisa into his ninja disciple, and the two team up to fight back in this erotic action comedy. Gruber sends his own ninjas to eliminate Joe and Lisa, who may have trouble focusing on the enemy as they're consumed by their lust for each other.",/wYRRfCBTukFl38YJfj2gyZpsXGD.jpg,['US'],['Image Organization'],6.400674684658257,actor,Unknown,1981.0,"['Comedy'],",9 1/2 Ninjas! - ,"['en', 'fr'], ",2.3 / , / 87.0,1991.0 - ,https://image.tmdb.org/t/p/w154/pqky4VGImptKhISI0wG8KVy2Sjq.jpg,https://www.youtube.com/watch?v=ndT7q2MfoEA,"Lorsque le magnat corrompu de l'immobilier Arnold Gruber expulse Joe et Lisa de leurs logements pour faire place à de nouveaux bâtiments, Joe, formé aux arts martiaux, transforme la sexy Lisa en disciple ninja, et les deux font équipe pour se battre dans cette comédie d'action érotique. Gruber envoie ses propres ninjas pour éliminer Joe et Lisa, qui pourraient avoir du mal à se concentrer sur l'ennemi car ils sont consumés par leur désir l'un pour l'autre."
False,tt0101458,"In 1999, a woman's life is forever changed after she survives a car crash with two bank robbers, who enlist her help to take the money to a drop in Paris. On the way, she runs into another fugitive from the law — an American doctor on the run from the CIA. They want to confiscate his father's invention – a device which allows anyone to record their dreams and visions.",/qizf062CmUr9Ji6KaV5IE62WvS6.jpg,"['AU', 'FR', 'DE', 'US']","['Wim Wenders Stiftung', 'Argos Films', 'Warner Bros. Pictures', 'Village Roadshow Entertainment', 'Road Movies']",6.400674684658257,actor,Unknown,1981.0,"['Drama', 'Science Fiction', 'Adventure'],",Until the End of the World - ,"['en', 'fr', 'de', 'it', 'ja'], ",6.847 / , / 158.0,1991.0 - ,https://image.tmdb.org/t/p/w154/aeDfoxMLFzEZg2cHfNA7YIwKNDA.jpg,https://www.youtube.com/watch?v=zfFWBWKwQT8,"En 1999, la vie d'une femme change à jamais après avoir survécu à un accident de voiture avec deux braqueurs de banque, qui lui demandent de l'aider à apporter l'argent à un point de dépôt à Paris. En chemin, elle rencontre un autre fugitif de la justice - un médecin américain en fuite de la CIA. Ils veulent confisquer l'invention de son père - un appareil qui permet à n'importe qui d'enregistrer ses rêves et ses visions."
False,tt0101523,"A clairvoyant woman thinks that she's met her future husband because she's seen him in a dream. They marry and he takes her back to his butcher shop in New York city, where her powers tend to influence everyone she meets while working in the shop. Through her advice, she helps others and eventually finds the true man of her dreams.",/oKwvnb2bypMyXD2UraWdXxUoqLY.jpg,['US'],['Paramount'],6.400674684658257,actor,Unknown,1981.0,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance'],",The Butcher's Wife - ,"['en', 'fr', 'it'], ",5.652 / , / 107.0,1991.0 - ,https://image.tmdb.org/t/p/w154/fQ3rguLBjfGPq1uqx4BEU9Yfkqk.jpg,https://www.youtube.com/watch?v=7Oz0RRckCRw,"Une femme clairvoyante pense avoir rencontré son futur mari parce qu'elle l'a vu en rêve. Ils se marient et il la ramène dans sa boucherie à New York, où ses pouvoirs ont tendance à influencer tous ceux qu'elle rencontre pendant qu'elle travaille dans la boucherie. Grâce à ses conseils, elle aide les autres et finit par trouver l'homme de ses rêves."
False,tt0101700,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",/bq18nae4FBPGCB8B2ZhBAEyERjq.jpg,['FR'],"['Victoires Productions', 'Constellation', 'Hachette Première', 'Sofinergie Films', 'Sofinergie 2', 'Investimage 2', 'Fondation GAN pour le Cinéma', 'Union Générale Cinématographique (UGC)']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Science Fiction', 'Fantasy'],",Delicatessen - ,"['fr'], ",7.332 / , / 99.0,1991.0 - ,https://image.tmdb.org/t/p/w154/oPlGvJFhDRYC5XrX2oqiwxTOoE8.jpg,https://www.youtube.com/watch?v=GVL5_I4CvTc,"Dans un monde post-apocalyptique, les habitants d'un appartement au-dessus de la boucherie reçoivent de temps en temps une friandise de viande, un produit rare. Un jeune homme nouvellement arrivé en ville tombe amoureux de la fille du boucher, ce qui provoque des conflits dans la famille de celle-ci, qui a besoin du jeune homme pour d'autres tâches commerciales."
False,tt0102536,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,/ktejUHCo6c8DekpOtR3uSb6oDXr.jpg,"['DE', 'FR', 'JP', 'GB', 'US']","['Channel Four Films', 'JVC', 'Le Studio Canal+', 'Locus Solus Entertainment', 'Pyramide Productions', 'Victor Musical Industries, Inc.', 'Pandora Film', 'Fine Line Features']",7.7,actress,Winona Ryder,1971.0,"['Comedy', 'Drama'],Comedy,Drama",Night on Earth - Night on Earth,"['en', 'it', 'de', 'fi', 'fr'], en",7.539 / 67590.0,129.0 / 128.0,1991.0 - 1991.0,https://image.tmdb.org/t/p/w154/uGiew76F44NSx46ZR8nprmLJN58.jpg,https://www.youtube.com/watch?v=F1m6GlPyOSU,Une anthologie de 5 chauffeurs de taxi différents dans 5 villes américaines et européennes et de leurs tarifs remarquables au cours de la même nuit mouvementée.
False,tt0102940,"Rival groups in a skiing school do battle on and off the piste. One gang are rich and serious, the other group are party animals.",/gDlLWxvr6lMBRevo2RXb0eUF8RQ.jpg,['CA'],"['Rose & Ruby Productions', 'Moviestore Entertainment']",6.400674684658257,actor,Unknown,1981.0,"['Comedy'],",Ski School - ,"['fr'], ",5.0 / , / 95.0,1991.0 - ,https://image.tmdb.org/t/p/w154/h3bXzaUA2UuBcMaPmtJ6Q36d5wF.jpg,https://www.youtube.com/watch?v=Mjzqs6bStXQ,"Dans une école de ski, des groupes rivaux s'affrontent sur les pistes et en dehors. Certains sont riches et sérieux, d'autres aiment faire la fête."
False,tt0103105,"80-year-old Thomas recounts his childhood and middle age through a series of flashbacks and dream sequences. Thomas believes he’s been taken away from a better life at birth; following a hospital fire, he vividly recalls being swapped with another new-born, and subsequently grows up in a poorer neighbouring household.",/fxIzSyOMrOFxwCIWIW4bwtgMpds.jpg,"['BE', 'FR', 'DE']",['Iblis Films'],6.400674684658257,actor,Unknown,1981.0,"['Drama', 'Comedy', 'Fantasy'],",Toto the Hero - ,"['fr'], ",7.1 / , / 91.0,1991.0 - ,https://image.tmdb.org/t/p/w154/8S0P8qDncF9BHqTwvCtqAnmr2Oj.jpg,https://www.youtube.com/watch?v=AcMaAwyTr1o,"Thomas, 80 ans, raconte son enfance et son âge mûr à travers une série de flashbacks et de séquences de rêve. Thomas pense avoir été privé d’une vie meilleure à sa naissance ; après un incendie dans un hôpital, il se souvient très bien d’avoir été échangé avec un autre nouveau-né et a grandi par la suite dans une famille voisine plus pauvre."
False,tt0103207,"A con artist couple takes a young, handsome petty thief under their wing, but jealousies flare when the woman develops an interest in him.",/1neWsF03Ret9dSjF0wsKF7mZpKn.jpg,['FR'],"['Little Bear', 'Films A2']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Crime', 'Drama'],",The Old Lady Who Walked in the Sea - ,"['fr'], ",5.9 / , / 98.0,1991.0 - ,https://image.tmdb.org/t/p/w154/1neWsF03Ret9dSjF0wsKF7mZpKn.jpg,https://www.youtube.com/watch?v=QE1dUe9CpV0,"Un couple d'escrocs prend sous leur aile un jeune et beau petit voleur, mais les jalousies éclatent lorsque la femme développe un intérêt pour lui."
False,tt0103905,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",/oyxeaQw8qZsqYVxALCx5Q5rDta7.jpg,['BE'],['Les Artistes Anonymes'],6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Crime'],",Man Bites Dog - ,"['fr', 'it'], ",7.2 / , / 96.0,1992.0 - ,https://image.tmdb.org/t/p/w154/3h7PYinvLGVL6tjUGzmmDycMEmm.jpg,https://www.youtube.com/watch?v=bcPhaieTg4o,"Les activités de Ben, un tueur en série impitoyable et sans discernement, sont filmées par une équipe de documentaires volontairement complices, qui deviennent finalement ses complices et ses participants actifs. Ben fournit des commentaires informels sur la nature de son travail et des réflexions arbitraires sur des sujets qui l'intéressent, comme la musique ou les conditions de logement des personnes à faible revenu, et va même jusqu'à présenter l'équipe du documentaire à sa famille. Mais leurs indulgences imprudentes prennent bientôt le dessus."
False,tt0104008,"Felicie and Charles have a whirlwind holiday romance. Due to a mix-up on addresses they lose contact, and five years later at Christmas-time Felicie is living with her mother in a cold Paris with a daughter as a reminder of that long-ago summer. For male companionship she oscillates between hairdresser Maxence and the intellectual Loic, but seems unable to commit to either as the memory of Charles and what might have been hangs over everything.",/uHmgUZXl7qkgu97E5ruDetLyDPt.jpg,['FR'],"['C.E.R.', 'Les Films du Losange', 'Canal+', 'Investimage', 'Sofiarp']",6.400674684658257,actor,Unknown,1981.0,"['Comedy', 'Drama'],",A Tale of Winter - ,"['fr'], ",7.127 / , / 114.0,1992.0 - ,https://image.tmdb.org/t/p/w154/3WnBqixVgvgmJWmxoSWhsZ3NzSf.jpg,https://www.youtube.com/watch?v=lfhcwzO0VTk,"Felicie et Charles vivent une histoire d'amour éclair pendant les vacances. À cause d'une confusion d'adresses, ils perdent contact et, cinq ans plus tard, à Noël, Felicie vit avec sa mère dans un Paris froid avec sa fille, en souvenir de cet été lointain. Pour la compagnie d'un homme, elle oscille entre le coiffeur Maxence et l'intellectuel Loïc, mais semble incapable de s'engager envers l'un ou l'autre, car le souvenir de Charles et de ce qui aurait pu être pèse sur tout."
False,tt0104040,"Two former Olympians, one a figure skater and the other a hockey player, pin their hopes of one last shot at Olympic glory on one another. That is, of course, if they can keep from killing each other in the process...",/f46oRkJXQgcfKsab7nWMG6Gjc6b.jpg,['US'],"['Interscope Communications', 'Metro-Goldwyn-Mayer']",6.400674684658257,actor,Unknown,1981.0,"['Romance', 'Comedy', 'Drama'],",The Cutting Edge - ,"['de', 'en', 'fr'], ",7.2 / , / 101.0,1992.0 - ,https://image.tmdb.org/t/p/w154/pxUytcU6sTyOQ3oJvrjdNiNSjSu.jpg,https://www.youtube.com/watch?v=COgnfQmG10U,"Deux anciens athlètes olympiques, l'un patineur artistique, l'autre joueur de hockey, fondent l'un sur l'autre leurs espoirs d'une dernière chance de gloire olympique. À condition, bien sûr, qu'ils parviennent à éviter de s'entretuer..."
